IP,Name,Sources
4.227.36.0/25,GPTBot,https://openai.com/gptbot.json
20.125.66.80/28,GPTBot,https://openai.com/gptbot.json
20.171.206.0/24,GPTBot,https://openai.com/gptbot.json
20.171.207.0/24,GPTBot,https://openai.com/gptbot.json
52.230.152.0/24,GPTBot,https://openai.com/gptbot.json
74.7.175.128/25,GPTBot,https://openai.com/gptbot.json
74.7.227.0/25,GPTBot,https://openai.com/gptbot.json
74.7.227.128/25,GPTBot,https://openai.com/gptbot.json
74.7.228.0/25,GPTBot,https://openai.com/gptbot.json
74.7.230.0/25,GPTBot,https://openai.com/gptbot.json
74.7.241.0/25,GPTBot,https://openai.com/gptbot.json
74.7.241.128/25,GPTBot,https://openai.com/gptbot.json
74.7.242.0/25,GPTBot,https://openai.com/gptbot.json
74.7.243.128/25,GPTBot,https://openai.com/gptbot.json
74.7.244.0/25,GPTBot,https://openai.com/gptbot.json
132.196.86.0/24,GPTBot,https://openai.com/gptbot.json
172.182.202.0/25,GPTBot,https://openai.com/gptbot.json
172.182.204.0/24,GPTBot,https://openai.com/gptbot.json
172.182.207.0/25,GPTBot,https://openai.com/gptbot.json
172.182.214.0/24,GPTBot,https://openai.com/gptbot.json
172.182.215.0/24,GPTBot,https://openai.com/gptbot.json
